ÈÕÆÚ,1ÐÇ,2ÐÇ,3ÐÇ,4ÐÇ,5ÐÇ
2020/1/1,47,8,14,10,55
2020/1/2,26,6,4,11,18
2020/1/3,17,1,1,2,36
2020/1/4,35,5,0,7,39
2020/1/5,19,4,6,2,32
2020/1/6,8,4,5,6,11
2020/1/7,12,2,3,1,30
2020/1/8,14,2,4,6,38
2020/1/9,20,3,13,18,220
2020/1/10,31,6,22,54,381
2020/1/11,22,4,10,32,186
2020/1/12,14,3,5,7,42
2020/1/13,13,1,4,4,37
2020/1/14,12,5,4,3,28
2020/1/15,35,6,11,16,107
2020/1/16,23,1,9,4,36
2020/1/17,16,5,10,10,46
2020/1/18,25,6,6,10,63
2020/1/19,20,3,5,6,48
2020/1/20,23,7,6,5,58
2020/1/21,15,2,5,2,35
2020/1/22,16,3,3,5,43
2020/1/23,8,4,1,7,49
2020/1/24,9,2,5,7,52
2020/1/25,12,1,0,4,50
2020/1/26,9,2,3,8,38
2020/1/27,15,0,2,11,50
2020/1/28,14,2,0,7,49
2020/1/29,7,2,6,4,43
2020/1/30,13,3,8,11,55
2020/1/31,8,1,1,5,34
2020/2/1,4,0,2,3,34
2020/2/2,11,2,2,7,57
2020/2/3,8,2,2,5,51
2020/2/4,8,3,2,5,51
2020/2/5,3,3,6,7,57
2020/2/6,8,0,3,7,75
2020/2/7,6,2,6,5,61
2020/2/8,7,0,2,9,67
2020/2/9,12,1,6,2,62
2020/2/10,10,0,4,9,76
2020/2/11,14,1,5,12,87
2020/2/12,8,3,4,7,72
2020/2/13,12,2,7,11,111
2020/2/14,55,10,19,25,133
2020/2/15,29,5,15,15,92
2020/2/16,30,6,5,8,100
2020/2/17,26,6,8,13,90
2020/2/18,49,1,13,7,135
2020/2/19,27,2,10,19,113
2020/2/20,36,11,11,17,130
2020/2/21,36,9,17,14,125
2020/2/22,48,4,13,22,114
2020/2/23,21,5,9,12,115
2020/2/24,35,11,18,18,118
2020/2/25,24,3,7,9,98
2020/2/26,42,6,13,14,122
2020/2/27,48,7,8,13,150
2020/2/28,29,8,19,19,106
2020/2/29,28,1,3,5,102
