"日期","一星","二星","三星","四星","五星"
"2020-01-01","18","33","34","68","1307"
"2020-01-02","15","0","5","9","369"
"2020-01-03","25","13","24","42","652"
"2020-01-04","30","31","33","70","1306"
"2020-01-05","27","25","37","65","1117"
"2020-01-06","17","8","18","26","508"
"2020-01-07","10","0","13","32","724"
"2020-01-08","15","20","28","59","1030"
"2020-01-09","32","18","18","70","1163"
"2020-01-10","25","22","60","90","1598"
"2020-01-11","34","7","43","114","1869"
"2020-01-12","39","30","40","106","1591"
"2020-01-13","24","16","37","65","1501"
"2020-01-14","39","33","17","92","1414"
"2020-01-15","28","27","33","76","1583"
"2020-01-16","39","15","44","115","1641"
"2020-01-17","40","11","44","82","1669"
"2020-01-18","51","10","43","96","1746"
"2020-01-19","22","16","40","113","1735"
"2020-01-20","34","14","32","76","1664"
"2020-01-21","47","26","43","82","1692"
"2020-01-22","29","26","48","154","1953"
"2020-01-23","44","19","36","92","2131"
"2020-01-24","46","28","52","154","2644"
"2020-01-25","53","26","33","148","2538"
"2020-01-26","52","44","45","114","2193"
"2020-01-27","52","27","42","92","1850"
"2020-01-28","35","26","41","105","1760"
"2020-01-29","24","32","37","98","1544"
"2020-01-30","34","7","59","97","1662"
"2020-01-31","31","35","35","94","1512"
"2020-02-01","45","7","27","97","1365"
"2020-02-02","38","19","47","83","1413"
"2020-02-03","47","28","41","83","1455"
"2020-02-04","39","27","63","87","1310"
"2020-02-05","47","23","31","67","1316"
"2020-02-06","40","41","51","84","1511"
"2020-02-07","52","28","55","114","1568"
"2020-02-08","42","41","63","101","1593"
"2020-02-09","45","36","58","60","1425"
"2020-02-10","60","34","55","109","1380"
"2020-02-11","38","48","65","106","1446"
"2020-02-12","54","36","49","98","1464"
"2020-02-13","71","34","67","97","1616"
"2020-02-14","88","33","96","160","1791"
"2020-02-15","64","52","47","122","1839"
"2020-02-16","77","45","54","85","1793"
"2020-02-17","70","54","51","129","1646"
"2020-02-18","74","43","76","136","1689"
"2020-02-19","74","63","60","133","1704"
"2020-02-20","73","56","71","135","1668"
"2020-02-21","87","61","86","165","1844"
"2020-02-22","108","57","58","141","1805"
"2020-02-23","55","19","37","81","1185"
"2020-02-24","42","16","22","83","1207"
"2020-02-25","47","21","21","73","1217"
"2020-02-26","83","39","49","135","2055"
"2020-02-27","160","96","177","281","2351"
"2020-02-28","61","47","85","95","1524"
"2020-02-29","77","21","54","116","1692"
"2020-03-01","67","32","64","118","1596"
"2020-03-02","26","25","26","57","1080"
"2020-03-03","85","40","77","147","1792"
"2020-03-04","-908","-473","-758","-1497","-19434"
"2020-03-05","1006","532","809","1629","20977"
"2020-03-06","-1006","-532","-809","-1629","-20977"
"2020-03-07","1133","596","924","1835","24003"
"2020-03-08","54","53","42","126","1464"
"2020-03-09","75","23","48","134","1510"
"2020-03-10","-1262","-672","-1014","-2095","-26977"
"2020-03-11","1362","731","1104","2283","29609"
"2020-03-12","85","44","51","123","1487"
"2020-03-13","19","19","18","46","610"
"2020-03-14","2","0","1","0","10"
"2020-03-15","1","-1","0","0","3"
"2020-03-16","7","2","11","18","145"
